ID,Curso,Origem,Especialidade_Medico,Consultor,Etapa,Status,Valor_Proposta_R$,Data_Primeiro_Contato,Dias_No_Funil,Motivo_Perda,Turma_Interesse,Score_Lead,Observacoes
16,EAD,WhatsApp,Ginecologia,Vendedor 2,Proposta Enviada,Em andamento,1200.00,27/04/2026,109,,T1/26,57,Aguardando leitura
17,EAD,Parceiro Clínica,Ginecologia,Vendedor 7,Matriculado,Ganho,1200.00,25/05/2026,17,,T2/26,38,Boleto gerado
18,R2,Email Marketing,Cardiologia,Vendedor 3,Matriculado,Ganho,7225.00,02/06/2026,116,,T1/26,65,Boleto gerado
19,SHHE,Congresso,Dermatologia,Vendedor 1,Contato Realizado,Em andamento,13410.00,07/01/2026,111,,T2/26,31,Interesse demonstrado
20,SHHE,Parceiro Clínica,Nutrologia,Vendedor 7,Contato Realizado,Em andamento,14900.00,18/04/2026,17,,T1/26,38,Interesse demonstrado
21,POS,WhatsApp,Ortopedia,Vendedor 6,Contato Realizado,Em andamento,36100.00,07/06/2026,29,,T1/26,96,Interesse demonstrado
22,POS,Indicação,Ginecologia,Vendedor 2,Matriculado,Ganho,38000.00,28/01/2026,88,,T4/26,86,Pagamento confirmado
23,HTI,WhatsApp,Medicina do Trabalho,Vendedor 5,Lead Captado,Em andamento,17748.00,12/06/2026,80,,T3/26,78,Aguardando primeiro contato
24,POS,Congresso,Medicina do Trabalho,Vendedor 2,Contato Realizado,Em andamento,34200.00,17/06/2026,15,,T2/26,85,Interesse demonstrado
25,SHHE,Site Orgânico,Nutrologia,Vendedor 1,Negociação,Em andamento,14900.00,25/01/2026,94,,T3/26,84,Esperando retorno do cônjuge
26,EAD,Instagram,Nutrologia,Vendedor 5,Matriculado,Ganho,1200.00,24/01/2026,9,,T1/26,41,Parcelado 12x aprovado
27,HTI,WhatsApp,Endocrinologia,Vendedor 6,Lead Captado,Em andamento,16860.60,26/03/2026,72,,T1/26,82,Aguardando primeiro contato
28,EAD,Site Orgânico,Geriatria,Vendedor 7,Perdido,Perdido,1140.00,01/04/2026,40,Escolheu concorrente,T2/26,49,Confirmou escolha do concorrente
29,POS,Email Marketing,Clínica Geral,Vendedor 3,Matriculado,Ganho,38000.00,13/03/2026,15,,T2/26,84,Pagamento confirmado
30,R2,Instagram,Ginecologia,Vendedor 5,Proposta Enviada,Em andamento,7225.00,28/03/2026,40,,T3/26,30,Follow-up agendado para 3 dias
31,SHHE,Parceiro Clínica,Neurologia,Vendedor 2,Lead Captado,Em andamento,13410.00,08/01/2026,82,,T1/26,97,Aguardando primeiro contato
32,POS,Site Orgânico,Pediatria,Vendedor 3,Contato Realizado,Em andamento,38000.00,25/03/2026,93,,T1/26,36,Demo agendada
33,SHHE,Parceiro Clínica,Ginecologia,Vendedor 4,Contato Realizado,Em andamento,14900.00,19/04/2026,85,,T4/26,86,Interesse demonstrado
34,NEXAL,Email Marketing,Ortopedia,Vendedor 7,Proposta Enviada,Em andamento,9800.00,23/06/2026,37,,T4/26,97,Aguardando leitura
35,NEXAL,Indicação,Cardiologia,Vendedor 2,Perdido,Perdido,9800.00,22/02/2026,1,Proposta não aprovada pela empresa,T2/26,47,Não retornou após 5 contatos
36,NEXAL,WhatsApp,Clínica Geral,Vendedor 7,Negociação,Em andamento,9800.00,03/02/2026,23,,T4/26,98,Proposta revisada enviada
37,R2,Congresso,Neurologia,Vendedor 1,Proposta Enviada,Em andamento,8500.00,11/01/2026,111,,T4/26,32,Proposta personalizada enviada
38,HTI,WhatsApp,Medicina do Trabalho,Vendedor 2,Negociação,Em andamento,15973.20,17/04/2026,82,,T3/26,44,Em análise de parcelamento
39,HTI,WhatsApp,Endocrinologia,Vendedor 1,Perdido,Perdido,17748.00,26/06/2026,107,Adiou para próxima turma,T1/26,85,Lead frio
40,SHHE,Site Orgânico,Medicina do Trabalho,Vendedor 2,Negociação,Em andamento,14900.00,21/03/2026,112,,T3/26,58,Esperando retorno do cônjuge
41,SHHE,LinkedIn,Ortopedia,Vendedor 4,Contato Realizado,Em andamento,14155.00,31/03/2026,25,,T3/26,48,Demo agendada
42,HTI,Google Ads,Dermatologia,Vendedor 5,Contato Realizado,Em andamento,17748.00,17/06/2026,98,,T1/26,52,Pediu proposta
43,POS,Webinar,Medicina do Trabalho,Vendedor 1,Negociação,Em andamento,34200.00,25/05/2026,119,,T3/26,70,Proposta revisada enviada
44,POS,LinkedIn,Pediatria,Vendedor 2,Matriculado,Ganho,32300.00,01/06/2026,36,,T1/26,75,Pagamento confirmado
45,NEXAL,Webinar,Pediatria,Vendedor 7,Lead Captado,Em andamento,8330.00,20/01/2026,37,,T1/26,94,Aguardando primeiro contato
46,POS,Parceiro Clínica,Ortopedia,Vendedor 1,Matriculado,Ganho,38000.00,27/05/2026,58,,T2/26,71,Parcelado 12x aprovado
47,R2,Google Ads,Ginecologia,Vendedor 2,Contato Realizado,Em andamento,7225.00,22/01/2026,44,,T2/26,35,Demo agendada
48,EAD,Webinar,Pediatria,Vendedor 6,Negociação,Em andamento,1200.00,06/04/2026,47,,T3/26,79,Em análise de parcelamento
49,NEXAL,Parceiro Clínica,Ginecologia,Vendedor 1,Matriculado,Ganho,9800.00,26/03/2026,9,,T1/26,79,Pix recebido
50,NEXAL,Parceiro Clínica,Endocrinologia,Vendedor 3,Contato Realizado,Em andamento,8820.00,31/03/2026,19,,T3/26,80,Demo agendada
51,R2,LinkedIn,Dermatologia,Vendedor 6,Proposta Enviada,Em andamento,7225.00,02/02/2026,43,,T1/26,84,Aguardando leitura
52,NEXAL,Indicação,Nutrologia,Vendedor 3,Contato Realizado,Em andamento,9800.00,05/05/2026,44,,T2/26,58,Demo agendada
53,SHHE,LinkedIn,Dermatologia,Vendedor 1,Matriculado,Ganho,14155.00,19/05/2026,99,,T1/26,73,Boleto gerado
54,R2,Site Orgânico,Endocrinologia,Vendedor 5,Contato Realizado,Em andamento,7650.00,09/06/2026,99,,T2/26,86,Demo agendada
55,POS,WhatsApp,Neurologia,Vendedor 4,Proposta Enviada,Em andamento,38000.00,14/03/2026,79,,T4/26,59,Aguardando leitura
56,SHHE,Instagram,Pediatria,Vendedor 1,Contato Realizado,Em andamento,13410.00,23/04/2026,74,,T4/26,66,Interesse demonstrado
57,R2,Congresso,Psiquiatria,Vendedor 5,Matriculado,Ganho,7225.00,05/02/2026,78,,T3/26,36,Parcelado 12x aprovado
58,NEXAL,Congresso,Clínica Geral,Vendedor 4,Matriculado,Ganho,8330.00,14/03/2026,16,,T1/26,50,Pix recebido
59,POS,Congresso,Endocrinologia,Vendedor 1,Proposta Enviada,Em andamento,38000.00,26/04/2026,105,,T3/26,33,Proposta personalizada enviada
60,HTI,Site Orgânico,Ortopedia,Vendedor 3,Proposta Enviada,Em andamento,17748.00,27/02/2026,48,,T1/26,70,Follow-up agendado para 3 dias
61,EAD,WhatsApp,Endocrinologia,Vendedor 5,Lead Captado,Em andamento,1020.00,28/06/2026,61,,T2/26,90,Aguardando primeiro contato
62,R2,Indicação,Clínica Geral,Vendedor 7,Proposta Enviada,Em andamento,7225.00,21/05/2026,20,,T4/26,44,Proposta personalizada enviada
63,SHHE,Instagram,Clínica Geral,Vendedor 7,Proposta Enviada,Em andamento,13410.00,09/06/2026,102,,T4/26,38,Follow-up agendado para 3 dias
64,POS,Parceiro Clínica,Ortopedia,Vendedor 7,Matriculado,Ganho,36100.00,06/02/2026,31,,T3/26,84,Pagamento confirmado
65,R2,WhatsApp,Cardiologia,Vendedor 6,Proposta Enviada,Em andamento,7650.00,22/01/2026,86,,T3/26,38,Aguardando leitura
66,R2,Congresso,Ortopedia,Vendedor 6,Lead Captado,Em andamento,7225.00,12/01/2026,61,,T4/26,77,Aguardando primeiro contato
67,EAD,Indicação,Nutrologia,Vendedor 1,Lead Captado,Em andamento,1200.00,18/06/2026,94,,T1/26,72,Aguardando primeiro contato
68,HTI,WhatsApp,Ortopedia,Vendedor 3,Matriculado,Ganho,17748.00,25/06/2026,107,,T4/26,91,Boleto gerado
69,SHHE,LinkedIn,Geriatria,Vendedor 1,Perdido,Perdido,14900.00,21/02/2026,38,Preço acima do esperado,T2/26,35,Não retornou após 5 contatos
70,NEXAL,Congresso,Psiquiatria,Vendedor 1,Negociação,Em andamento,9800.00,15/06/2026,5,,T2/26,66,Esperando retorno do cônjuge
71,HTI,WhatsApp,Dermatologia,Vendedor 7,Matriculado,Ganho,17748.00,13/04/2026,114,,T4/26,79,Pix recebido
72,SHHE,Webinar,Geriatria,Vendedor 2,Proposta Enviada,Em andamento,12665.00,10/03/2026,67,,T1/26,84,Follow-up agendado para 3 dias
73,POS,Parceiro Clínica,Endocrinologia,Vendedor 6,Proposta Enviada,Em andamento,38000.00,25/03/2026,11,,T3/26,69,Proposta personalizada enviada
74,R2,Site Orgânico,Endocrinologia,Vendedor 4,Proposta Enviada,Em andamento,8500.00,01/04/2026,6,,T4/26,65,Aguardando leitura
75,HTI,LinkedIn,Neurologia,Vendedor 4,Proposta Enviada,Em andamento,16860.60,23/06/2026,103,,T2/26,33,Follow-up agendado para 3 dias
76,R2,Webinar,Ginecologia,Vendedor 5,Lead Captado,Em andamento,7225.00,04/04/2026,83,,T3/26,79,Aguardando primeiro contato
77,R2,Google Ads,Neurologia,Vendedor 2,Perdido,Perdido,8500.00,20/01/2026,57,Sem tempo no momento,T3/26,80,Não retornou após 5 contatos
78,EAD,Instagram,Cardiologia,Vendedor 7,Lead Captado,Em andamento,1200.00,13/05/2026,64,,T4/26,45,Aguardando primeiro contato
79,NEXAL,Webinar,Cardiologia,Vendedor 6,Proposta Enviada,Em andamento,9800.00,01/02/2026,26,,T2/26,39,Proposta personalizada enviada
80,SHHE,Webinar,Clínica Geral,Vendedor 1,Matriculado,Ganho,12665.00,20/06/2026,41,,T3/26,38,Pix recebido
81,NEXAL,Google Ads,Geriatria,Vendedor 4,Perdido,Perdido,8820.00,03/04/2026,23,Questões financeiras pessoais,T2/26,45,Lead frio
82,SHHE,Email Marketing,Pediatria,Vendedor 7,Proposta Enviada,Em andamento,14155.00,30/04/2026,48,,T2/26,41,Follow-up agendado para 3 dias
83,NEXAL,Site Orgânico,Geriatria,Vendedor 4,Negociação,Em andamento,9800.00,15/04/2026,99,,T1/26,46,Esperando retorno do cônjuge
84,EAD,LinkedIn,Pediatria,Vendedor 2,Matriculado,Ganho,1200.00,22/05/2026,17,,T2/26,46,Parcelado 12x aprovado
85,R2,Indicação,Clínica Geral,Vendedor 6,Contato Realizado,Em andamento,8500.00,24/03/2026,21,,T2/26,74,Pediu proposta
86,NEXAL,LinkedIn,Dermatologia,Vendedor 5,Matriculado,Ganho,9310.00,02/02/2026,36,,T3/26,98,Pagamento confirmado
87,R2,Google Ads,Medicina do Trabalho,Vendedor 6,Contato Realizado,Em andamento,7650.00,04/06/2026,80,,T3/26,35,Demo agendada
88,HTI,Indicação,Neurologia,Vendedor 1,Negociação,Em andamento,15973.20,27/05/2026,27,,T4/26,33,Em análise de parcelamento
89,EAD,Congresso,Dermatologia,Vendedor 4,Perdido,Perdido,1200.00,25/06/2026,32,Perfil não alinhado com o curso,T3/26,88,Lead frio
90,EAD,Indicação,Endocrinologia,Vendedor 2,Proposta Enviada,Em andamento,1200.00,29/03/2026,27,,T2/26,70,Aguardando leitura
91,NEXAL,WhatsApp,Psiquiatria,Vendedor 5,Matriculado,Ganho,9310.00,28/01/2026,72,,T3/26,60,Parcelado 12x aprovado
92,HTI,Instagram,Pediatria,Vendedor 5,Contato Realizado,Em andamento,17748.00,09/04/2026,38,,T4/26,61,Demo agendada
93,NEXAL,Parceiro Clínica,Geriatria,Vendedor 3,Contato Realizado,Em andamento,9800.00,12/05/2026,64,,T4/26,93,Interesse demonstrado
94,POS,Indicação,Clínica Geral,Vendedor 2,Negociação,Em andamento,38000.00,30/05/2026,28,,T3/26,36,Aguardando aprovação financeira
95,NEXAL,Webinar,Medicina do Trabalho,Vendedor 1,Matriculado,Ganho,9800.00,18/05/2026,37,,T1/26,43,Parcelado 12x aprovado
96,SHHE,Instagram,Geriatria,Vendedor 3,Matriculado,Ganho,14900.00,13/04/2026,6,,T1/26,54,Pix recebido
97,R2,Instagram,Clínica Geral,Vendedor 2,Negociação,Em andamento,7225.00,13/03/2026,71,,T1/26,46,Aguardando aprovação financeira
98,POS,WhatsApp,Nutrologia,Vendedor 6,Perdido,Perdido,32300.00,20/02/2026,19,Questões financeiras pessoais,T4/26,94,Lead frio
99,HTI,Indicação,Endocrinologia,Vendedor 4,Proposta Enviada,Em andamento,17748.00,27/04/2026,67,,T2/26,95,Follow-up agendado para 3 dias
100,NEXAL,Parceiro Clínica,Nutrologia,Vendedor 5,Proposta Enviada,Em andamento,9310.00,18/03/2026,95,,T3/26,94,Aguardando leitura
101,R2,Webinar,Geriatria,Vendedor 6,Proposta Enviada,Em andamento,7225.00,05/04/2026,3,,T3/26,44,Proposta personalizada enviada
102,R2,Instagram,Geriatria,Vendedor 1,Matriculado,Ganho,8500.00,02/05/2026,77,,T3/26,59,Pagamento confirmado
103,R2,Webinar,Endocrinologia,Vendedor 6,Negociação,Em andamento,8075.00,08/04/2026,100,,T2/26,61,Aguardando aprovação financeira
104,R2,LinkedIn,Cardiologia,Vendedor 7,Proposta Enviada,Em andamento,8500.00,16/04/2026,20,,T2/26,82,Aguardando leitura
105,R2,Webinar,Geriatria,Vendedor 4,Lead Captado,Em andamento,8500.00,23/02/2026,67,,T3/26,91,Aguardando primeiro contato
106,NEXAL,Google Ads,Pediatria,Vendedor 6,Proposta Enviada,Em andamento,9800.00,24/06/2026,87,,T3/26,91,Follow-up agendado para 3 dias
107,SHHE,Instagram,Ortopedia,Vendedor 3,Contato Realizado,Em andamento,14900.00,15/03/2026,99,,T2/26,92,Interesse demonstrado
108,POS,WhatsApp,Ortopedia,Vendedor 1,Matriculado,Ganho,38000.00,27/05/2026,16,,T4/26,80,Pix recebido
109,SHHE,Instagram,Ginecologia,Vendedor 3,Perdido,Perdido,14900.00,24/04/2026,45,Proposta não aprovada pela empresa,T4/26,57,Lead frio
110,R2,Instagram,Ortopedia,Vendedor 4,Proposta Enviada,Em andamento,8500.00,31/05/2026,79,,T2/26,61,Follow-up agendado para 3 dias
111,EAD,Congresso,Cardiologia,Vendedor 4,Proposta Enviada,Em andamento,1200.00,26/03/2026,53,,T4/26,42,Aguardando leitura
112,SHHE,Indicação,Ortopedia,Vendedor 5,Proposta Enviada,Em andamento,14900.00,16/06/2026,62,,T2/26,66,Proposta personalizada enviada
113,NEXAL,Indicação,Clínica Geral,Vendedor 4,Negociação,Em andamento,9310.00,10/01/2026,95,,T2/26,83,Proposta revisada enviada
114,HTI,Site Orgânico,Pediatria,Vendedor 5,Perdido,Perdido,15085.80,16/03/2026,119,Preço acima do esperado,T1/26,68,Confirmou escolha do concorrente
115,R2,LinkedIn,Nutrologia,Vendedor 3,Negociação,Em andamento,7650.00,15/05/2026,70,,T4/26,47,Em análise de parcelamento
116,NEXAL,Email Marketing,Clínica Geral,Vendedor 3,Contato Realizado,Em andamento,9800.00,07/03/2026,83,,T2/26,31,Pediu proposta
117,NEXAL,Instagram,Medicina do Trabalho,Vendedor 4,Matriculado,Ganho,9800.00,13/06/2026,79,,T4/26,84,Pix recebido
118,HTI,Site Orgânico,Neurologia,Vendedor 7,Contato Realizado,Em andamento,17748.00,24/03/2026,62,,T2/26,30,Interesse demonstrado
119,POS,Email Marketing,Pediatria,Vendedor 1,Proposta Enviada,Em andamento,38000.00,30/05/2026,39,,T1/26,63,Aguardando leitura
120,NEXAL,Email Marketing,Ginecologia,Vendedor 4,Contato Realizado,Em andamento,9800.00,14/04/2026,21,,T3/26,45,Pediu proposta
121,NEXAL,WhatsApp,Medicina do Trabalho,Vendedor 5,Contato Realizado,Em andamento,9800.00,09/02/2026,62,,T4/26,77,Interesse demonstrado
122,EAD,Congresso,Pediatria,Vendedor 1,Negociação,Em andamento,1080.00,25/02/2026,106,,T2/26,40,Em análise de parcelamento
123,R2,WhatsApp,Clínica Geral,Vendedor 6,Contato Realizado,Em andamento,7225.00,10/05/2026,71,,T2/26,98,Demo agendada
124,SHHE,WhatsApp,Ortopedia,Vendedor 2,Contato Realizado,Em andamento,14900.00,30/05/2026,92,,T4/26,41,Pediu proposta
125,POS,Indicação,Pediatria,Vendedor 5,Negociação,Em andamento,38000.00,15/01/2026,73,,T4/26,69,Aguardando aprovação financeira
126,POS,Instagram,Ginecologia,Vendedor 4,Contato Realizado,Em andamento,38000.00,19/04/2026,6,,T3/26,38,Pediu proposta
127,HTI,LinkedIn,Pediatria,Vendedor 7,Proposta Enviada,Em andamento,17748.00,04/02/2026,99,,T4/26,77,Proposta personalizada enviada
128,POS,Site Orgânico,Psiquiatria,Vendedor 7,Matriculado,Ganho,34200.00,19/05/2026,112,,T2/26,74,Pagamento confirmado
129,SHHE,Congresso,Psiquiatria,Vendedor 6,Contato Realizado,Em andamento,14900.00,01/01/2026,107,,T1/26,68,Interesse demonstrado
130,EAD,Congresso,Psiquiatria,Vendedor 6,Proposta Enviada,Em andamento,1200.00,28/04/2026,32,,T3/26,49,Proposta personalizada enviada
131,SHHE,LinkedIn,Ginecologia,Vendedor 1,Matriculado,Ganho,14155.00,05/01/2026,99,,T2/26,56,Pagamento confirmado
132,HTI,Parceiro Clínica,Ginecologia,Vendedor 2,Negociação,Em andamento,15973.20,13/01/2026,112,,T2/26,35,Em análise de parcelamento
133,POS,Email Marketing,Ortopedia,Vendedor 5,Matriculado,Ganho,32300.00,05/02/2026,8,,T3/26,59,Pix recebido
134,R2,Parceiro Clínica,Neurologia,Vendedor 1,Proposta Enviada,Em andamento,8500.00,06/02/2026,113,,T2/26,82,Proposta personalizada enviada
135,NEXAL,Indicação,Ortopedia,Vendedor 6,Matriculado,Ganho,9800.00,23/06/2026,81,,T4/26,93,Pagamento confirmado
136,NEXAL,Site Orgânico,Ortopedia,Vendedor 3,Matriculado,Ganho,9800.00,18/03/2026,20,,T4/26,53,Parcelado 12x aprovado
137,SHHE,Email Marketing,Dermatologia,Vendedor 1,Matriculado,Ganho,12665.00,15/01/2026,60,,T4/26,83,Boleto gerado
138,POS,Email Marketing,Dermatologia,Vendedor 5,Proposta Enviada,Em andamento,38000.00,26/04/2026,119,,T3/26,41,Aguardando leitura
139,EAD,Email Marketing,Ginecologia,Vendedor 3,Proposta Enviada,Em andamento,1140.00,11/01/2026,78,,T1/26,54,Aguardando leitura
140,EAD,Congresso,Cardiologia,Vendedor 2,Contato Realizado,Em andamento,1200.00,04/01/2026,39,,T2/26,54,Pediu proposta
141,HTI,Webinar,Cardiologia,Vendedor 4,Negociação,Em andamento,17748.00,03/03/2026,51,,T3/26,66,Em análise de parcelamento
142,POS,Congresso,Neurologia,Vendedor 3,Proposta Enviada,Em andamento,38000.00,08/05/2026,66,,T4/26,42,Aguardando leitura
143,POS,WhatsApp,Cardiologia,Vendedor 3,Proposta Enviada,Em andamento,38000.00,26/02/2026,73,,T2/26,32,Proposta personalizada enviada
144,R2,Parceiro Clínica,Medicina do Trabalho,Vendedor 4,Proposta Enviada,Em andamento,8500.00,26/03/2026,26,,T2/26,78,Aguardando leitura
145,SHHE,Webinar,Ortopedia,Vendedor 4,Perdido,Perdido,14900.00,06/05/2026,33,Desistiu por mudança de prioridades,T4/26,51,Confirmou escolha do concorrente
146,NEXAL,Google Ads,Endocrinologia,Vendedor 4,Negociação,Em andamento,9800.00,19/05/2026,118,,T1/26,97,Aguardando aprovação financeira
147,HTI,Indicação,Ginecologia,Vendedor 2,Contato Realizado,Em andamento,15973.20,18/01/2026,30,,T2/26,31,Demo agendada
148,R2,Webinar,Nutrologia,Vendedor 7,Negociação,Em andamento,7650.00,07/06/2026,120,,T4/26,92,Aguardando aprovação financeira
149,HTI,Congresso,Ortopedia,Vendedor 2,Lead Captado,Em andamento,16860.60,12/03/2026,93,,T3/26,32,Aguardando primeiro contato
150,SHHE,LinkedIn,Clínica Geral,Vendedor 6,Contato Realizado,Em andamento,14900.00,15/05/2026,80,,T3/26,75,Interesse demonstrado
151,POS,LinkedIn,Nutrologia,Vendedor 2,Negociação,Em andamento,38000.00,27/02/2026,90,,T3/26,40,Aguardando aprovação financeira
152,HTI,Site Orgânico,Psiquiatria,Vendedor 2,Negociação,Em andamento,17748.00,03/01/2026,82,,T2/26,40,Em análise de parcelamento
153,POS,WhatsApp,Medicina do Trabalho,Vendedor 1,Perdido,Perdido,36100.00,11/01/2026,118,Não respondeu após follow-up,T2/26,90,Não retornou após 5 contatos
154,HTI,LinkedIn,Neurologia,Vendedor 3,Matriculado,Ganho,16860.60,09/01/2026,85,,T2/26,70,Pagamento confirmado
155,SHHE,Parceiro Clínica,Endocrinologia,Vendedor 1,Matriculado,Ganho,12665.00,20/01/2026,51,,T3/26,50,Boleto gerado
156,R2,Site Orgânico,Neurologia,Vendedor 6,Proposta Enviada,Em andamento,7225.00,05/02/2026,95,,T1/26,94,Aguardando leitura
157,NEXAL,Indicação,Clínica Geral,Vendedor 2,Proposta Enviada,Em andamento,9800.00,04/06/2026,44,,T4/26,71,Follow-up agendado para 3 dias
158,EAD,Instagram,Pediatria,Vendedor 2,Contato Realizado,Em andamento,1140.00,21/04/2026,49,,T2/26,78,Demo agendada
159,R2,Instagram,Cardiologia,Vendedor 4,Lead Captado,Em andamento,8500.00,08/04/2026,20,,T2/26,79,Aguardando primeiro contato
160,NEXAL,LinkedIn,Clínica Geral,Vendedor 7,Perdido,Perdido,9800.00,11/03/2026,47,Escolheu concorrente,T2/26,41,Lead frio
161,POS,Webinar,Ortopedia,Vendedor 6,Negociação,Em andamento,38000.00,23/01/2026,4,,T3/26,100,Aguardando aprovação financeira
162,R2,Parceiro Clínica,Nutrologia,Vendedor 1,Proposta Enviada,Em andamento,8500.00,10/04/2026,53,,T1/26,61,Aguardando leitura
163,R2,Google Ads,Neurologia,Vendedor 2,Contato Realizado,Em andamento,8500.00,10/03/2026,39,,T4/26,48,Demo agendada
164,SHHE,Site Orgânico,Dermatologia,Vendedor 2,Proposta Enviada,Em andamento,12665.00,03/04/2026,10,,T3/26,61,Aguardando leitura
165,EAD,Webinar,Medicina do Trabalho,Vendedor 6,Contato Realizado,Em andamento,1200.00,19/03/2026,18,,T1/26,80,Interesse demonstrado
166,R2,Site Orgânico,Nutrologia,Vendedor 2,Proposta Enviada,Em andamento,7225.00,16/06/2026,106,,T2/26,68,Proposta personalizada enviada
167,R2,Email Marketing,Pediatria,Vendedor 3,Contato Realizado,Em andamento,8500.00,16/03/2026,41,,T4/26,61,Interesse demonstrado
168,POS,Instagram,Psiquiatria,Vendedor 3,Contato Realizado,Em andamento,36100.00,01/06/2026,26,,T2/26,100,Demo agendada
169,EAD,Webinar,Geriatria,Vendedor 5,Proposta Enviada,Em andamento,1200.00,27/06/2026,107,,T1/26,82,Aguardando leitura
170,POS,Google Ads,Neurologia,Vendedor 3,Proposta Enviada,Em andamento,34200.00,19/04/2026,20,,T4/26,39,Proposta personalizada enviada
171,R2,Webinar,Medicina do Trabalho,Vendedor 2,Negociação,Em andamento,7225.00,18/04/2026,89,,T1/26,76,Aguardando aprovação financeira
172,HTI,Email Marketing,Neurologia,Vendedor 4,Proposta Enviada,Em andamento,15973.20,12/01/2026,79,,T4/26,72,Proposta personalizada enviada
173,HTI,Indicação,Clínica Geral,Vendedor 3,Contato Realizado,Em andamento,15973.20,23/05/2026,67,,T2/26,87,Interesse demonstrado
174,POS,Webinar,Neurologia,Vendedor 6,Matriculado,Ganho,38000.00,07/01/2026,45,,T4/26,43,Pix recebido
175,POS,LinkedIn,Clínica Geral,Vendedor 1,Perdido,Perdido,38000.00,21/03/2026,45,Adiou para próxima turma,T4/26,56,Confirmou escolha do concorrente
176,POS,WhatsApp,Pediatria,Vendedor 7,Proposta Enviada,Em andamento,34200.00,23/03/2026,58,,T1/26,68,Follow-up agendado para 3 dias
177,EAD,LinkedIn,Ginecologia,Vendedor 1,Proposta Enviada,Em andamento,1200.00,12/02/2026,87,,T2/26,96,Follow-up agendado para 3 dias
178,R2,Google Ads,Nutrologia,Vendedor 6,Proposta Enviada,Em andamento,8500.00,14/04/2026,30,,T2/26,53,Aguardando leitura
179,EAD,Site Orgânico,Psiquiatria,Vendedor 7,Matriculado,Ganho,1200.00,01/06/2026,58,,T4/26,79,Pagamento confirmado
180,EAD,Email Marketing,Cardiologia,Vendedor 3,Matriculado,Ganho,1020.00,17/01/2026,102,,T1/26,98,Boleto gerado
181,NEXAL,WhatsApp,Cardiologia,Vendedor 2,Contato Realizado,Em andamento,8820.00,06/05/2026,111,,T3/26,79,Pediu proposta
182,POS,Parceiro Clínica,Clínica Geral,Vendedor 3,Proposta Enviada,Em andamento,38000.00,14/02/2026,80,,T3/26,40,Aguardando leitura
183,SHHE,WhatsApp,Clínica Geral,Vendedor 5,Proposta Enviada,Em andamento,14900.00,27/06/2026,48,,T2/26,95,Proposta personalizada enviada
184,POS,Parceiro Clínica,Endocrinologia,Vendedor 6,Proposta Enviada,Em andamento,38000.00,12/06/2026,63,,T2/26,51,Proposta personalizada enviada
185,NEXAL,Google Ads,Endocrinologia,Vendedor 3,Matriculado,Ganho,9310.00,02/04/2026,7,,T1/26,92,Boleto gerado
186,SHHE,Site Orgânico,Ortopedia,Vendedor 6,Matriculado,Ganho,14900.00,06/05/2026,88,,T4/26,86,Parcelado 12x aprovado
