ID,Curso,Turma,Mes_Realizacao,Cidade,Nota_NPS_0_10,Nota_Conteudo,Nota_Professor,Nota_Plataforma_EAD,Nota_Suporte,Nota_Logistica,Perfil_Aluno,Modalidade,Recomendaria,Comentario_Aberto
17,HTI,T3/26,Junho,São Paulo,9,10,10,8,10,8,Coordenador de área,Presencial,Sim,Valeu cada centavo. O networking foi um bônus inesperado.
18,SHHE,T5/26,Junho,São Paulo,8,9,7,5,9,6,Residente,Presencial,Talvez,"Válido, mas a carga horária poderia ser melhor distribuída."
19,NEXAL,T5/26,Março,Fortaleza,9,8,10,7,10,10,Médico recém-formado,Presencial,Sim,Melhor curso que fiz nos últimos anos. Recomendo a todos os colegas.
20,NEXAL,T1/26,Janeiro,Fortaleza,9,9,9,9,8,9,Residente,Presencial,Sim,O suporte antes e durante o curso foi impecável.
21,HTI,T4/26,Janeiro,Fortaleza,10,10,10,10,10,10,Residente,Presencial,Sim,Conteúdo atualizado e imediatamente aplicável na prática clínica.
22,HTI,T1/26,Março,Fortaleza,10,10,10,10,10,10,Médico,Presencial,Sim,Melhor curso que fiz nos últimos anos. Recomendo a todos os colegas.
23,R2,T2/26,Junho,Fortaleza,10,9,10,9,9,9,Médico,Híbrido,Sim,"A plataforma EAD funcionou perfeitamente, sem nenhuma interrupção."
24,HTI,T2/26,Março,Fortaleza,10,9,9,7,10,9,Coordenador de área,Presencial,Sim,Transformador. Indicarei para toda a minha equipe da clínica.
25,SHHE,T2/26,Junho,Fortaleza,9,8,9,6,7,10,Especialista,Presencial,Sim,Excelente curadoria de palestrantes. Muito além do esperado.
26,HTI,T5/26,Janeiro,Fortaleza,8,7,7,7,7,7,Médico,Presencial,Talvez,Bom curso mas esperava mais casos clínicos práticos.
27,POS,T1/26,Janeiro,Fortaleza,8,7,9,5,7,6,Residente,Presencial,Talvez,"Válido, mas a carga horária poderia ser melhor distribuída."
28,HTI,T4/26,Maio,Fortaleza,8,9,9,6,7,9,Coordenador de área,Presencial,Talvez,Conteúdo sólido mas o ritmo poderia ser mais cadenciado.
29,SHHE,T2/26,Janeiro,São Paulo,7,7,8,6,5,8,Residente,Presencial,Talvez,Bom conteúdo mas apresentação dos slides poderia ser mais visual.
30,SHHE,T1/26,Junho,São Paulo,9,9,8,6,8,10,Especialista,Presencial,Sim,"A plataforma EAD funcionou perfeitamente, sem nenhuma interrupção."
31,POS,T1/26,Junho,Fortaleza,9,10,8,8,7,9,Coordenador de área,Presencial,Sim,"Professor incrível, conteúdo denso mas muito bem explicado."
32,NEXAL,T2/26,Junho,Fortaleza,10,10,10,10,8,10,Médico,Presencial,Sim,"A plataforma EAD funcionou perfeitamente, sem nenhuma interrupção."
33,R2,T4/26,Abril,Fortaleza,9,10,8,6,8,7,Médico recém-formado,Híbrido,Sim,Melhor curso que fiz nos últimos anos. Recomendo a todos os colegas.
34,NEXAL,T2/26,Junho,Fortaleza,9,8,10,6,7,8,Especialista,Presencial,Sim,Excelente curadoria de palestrantes. Muito além do esperado.
35,NEXAL,T2/26,Fevereiro,Fortaleza,8,9,7,6,9,8,Residente,Presencial,Talvez,O suporte demorou para responder minhas dúvidas pré-evento.
36,NEXAL,T1/26,Maio,Fortaleza,10,10,10,9,8,9,Especialista,Presencial,Sim,Transformador. Indicarei para toda a minha equipe da clínica.
37,SHHE,T2/26,Maio,Fortaleza,10,9,10,8,10,10,Residente,Presencial,Sim,Excelente curadoria de palestrantes. Muito além do esperado.
38,HTI,T1/26,Abril,Fortaleza,7,8,6,5,6,5,Residente,Presencial,Talvez,Bom de forma geral. A plataforma EAD precisa melhorar.
39,SHHE,T5/26,Janeiro,São Paulo,9,8,10,7,8,10,Residente,Presencial,Sim,"A plataforma EAD funcionou perfeitamente, sem nenhuma interrupção."
40,SHHE,T3/26,Março,São Paulo,10,9,10,10,8,10,Coordenador de área,Presencial,Sim,Conteúdo atualizado e imediatamente aplicável na prática clínica.
41,SHHE,T4/26,Abril,São Paulo,9,9,8,9,7,10,Coordenador de área,Presencial,Sim,Melhor curso que fiz nos últimos anos. Recomendo a todos os colegas.
42,NEXAL,T5/26,Maio,Fortaleza,7,8,6,6,8,8,Especialista,Presencial,Talvez,Bom conteúdo mas apresentação dos slides poderia ser mais visual.
43,NEXAL,T4/26,Maio,Fortaleza,9,8,9,7,10,8,Residente,Presencial,Sim,Valeu cada centavo. O networking foi um bônus inesperado.
44,HTI,T1/26,Maio,São Paulo,8,8,8,8,8,9,Coordenador de área,Presencial,Talvez,O suporte demorou para responder minhas dúvidas pré-evento.
45,R2,T1/26,Abril,Fortaleza,10,9,10,8,9,10,Especialista,Híbrido,Sim,Transformador. Indicarei para toda a minha equipe da clínica.
46,R2,T4/26,Junho,Fortaleza,10,10,9,10,10,9,Residente,Híbrido,Sim,Excelente curadoria de palestrantes. Muito além do esperado.
47,HTI,T3/26,Junho,São Paulo,2,5,6,3,4,4,Residente,Presencial,Não,Esperava mais interação ao vivo. Ficou muito teórico.
48,SHHE,T5/26,Maio,São Paulo,10,9,9,7,10,10,Médico recém-formado,Presencial,Sim,Melhor curso que fiz nos últimos anos. Recomendo a todos os colegas.
49,R2,T2/26,Abril,Fortaleza,7,7,7,6,8,7,Coordenador de área,Híbrido,Talvez,Conteúdo sólido mas o ritmo poderia ser mais cadenciado.
50,HTI,T5/26,Março,São Paulo,8,7,9,8,8,6,Residente,Presencial,Talvez,Bom conteúdo mas apresentação dos slides poderia ser mais visual.
51,HTI,T1/26,Janeiro,São Paulo,9,9,10,8,10,8,Residente,Presencial,Sim,Transformador. Indicarei para toda a minha equipe da clínica.
52,SHHE,T2/26,Fevereiro,São Paulo,9,8,9,7,8,8,Médico,Presencial,Sim,"Professor incrível, conteúdo denso mas muito bem explicado."
53,SHHE,T3/26,Abril,São Paulo,10,9,10,8,8,10,Médico,Presencial,Sim,Conteúdo atualizado e imediatamente aplicável na prática clínica.
54,HTI,T3/26,Janeiro,São Paulo,9,9,9,6,7,7,Especialista,Presencial,Sim,"Conteúdo excelente, professor muito didático. Já apliquei na prática."
55,R2,T1/26,Janeiro,Fortaleza,7,6,7,6,8,8,Especialista,Híbrido,Talvez,Alguns módulos muito densos para o tempo disponível.
56,NEXAL,T3/26,Junho,Fortaleza,10,10,9,9,10,10,Médico recém-formado,Presencial,Sim,"Conteúdo excelente, professor muito didático. Já apliquei na prática."
57,NEXAL,T3/26,Janeiro,Fortaleza,0,5,6,3,4,4,Médico recém-formado,Presencial,Não,Esperava mais interação ao vivo. Ficou muito teórico.
58,SHHE,T3/26,Abril,São Paulo,9,9,10,9,8,7,Especialista,Presencial,Sim,"Conteúdo excelente, professor muito didático. Já apliquei na prática."
59,NEXAL,T1/26,Junho,Fortaleza,8,8,7,8,9,6,Especialista,Presencial,Talvez,Alguns módulos muito densos para o tempo disponível.
60,POS,T1/26,Junho,Fortaleza,8,9,7,6,6,7,Coordenador de área,Presencial,Talvez,Conteúdo sólido mas o ritmo poderia ser mais cadenciado.
61,NEXAL,T5/26,Abril,Fortaleza,7,7,6,7,6,6,Residente,Presencial,Talvez,"Válido, mas a carga horária poderia ser melhor distribuída."
62,HTI,T1/26,Abril,São Paulo,2,5,6,3,4,4,Coordenador de área,Presencial,Não,Suporte não respondeu meu e-mail em 3 dias. Abaixo do esperado.
63,SHHE,T5/26,Junho,São Paulo,5,6,6,3,4,5,Coordenador de área,Presencial,Não,Intervalo muito curto para o volume de conteúdo.
64,R2,T4/26,Fevereiro,Fortaleza,8,7,8,5,6,6,Especialista,Híbrido,Talvez,Bom de forma geral. A plataforma EAD precisa melhorar.
65,HTI,T5/26,Março,Fortaleza,8,8,9,5,8,6,Médico recém-formado,Presencial,Talvez,Bom de forma geral. A plataforma EAD precisa melhorar.
66,POS,T4/26,Março,Fortaleza,10,10,9,8,8,10,Médico,Presencial,Sim,O suporte antes e durante o curso foi impecável.
67,POS,T3/26,Fevereiro,Fortaleza,10,10,9,10,10,9,Médico recém-formado,Presencial,Sim,Superou minhas expectativas. Material didático de altíssima qualidade.
68,SHHE,T1/26,Maio,São Paulo,9,10,8,8,10,8,Coordenador de área,Presencial,Sim,Superou minhas expectativas. Material didático de altíssima qualidade.
69,POS,T1/26,Março,Fortaleza,7,8,6,5,5,6,Coordenador de área,Presencial,Talvez,Alguns módulos muito densos para o tempo disponível.
70,NEXAL,T2/26,Janeiro,Fortaleza,9,9,9,9,9,10,Coordenador de área,Presencial,Sim,Melhor curso que fiz nos últimos anos. Recomendo a todos os colegas.
71,R2,T3/26,Março,Fortaleza,10,9,10,10,8,9,Especialista,Híbrido,Sim,"A plataforma EAD funcionou perfeitamente, sem nenhuma interrupção."
72,HTI,T3/26,Abril,São Paulo,9,9,10,9,9,8,Residente,Presencial,Sim,Valeu cada centavo. O networking foi um bônus inesperado.
73,SHHE,T1/26,Março,São Paulo,9,10,8,9,10,8,Médico,Presencial,Sim,Melhor curso que fiz nos últimos anos. Recomendo a todos os colegas.
74,NEXAL,T4/26,Fevereiro,Fortaleza,10,9,10,9,10,9,Coordenador de área,Presencial,Sim,Valeu cada centavo. O networking foi um bônus inesperado.
75,HTI,T1/26,Fevereiro,São Paulo,8,9,7,8,6,9,Coordenador de área,Presencial,Talvez,O suporte demorou para responder minhas dúvidas pré-evento.
76,POS,T3/26,Janeiro,Fortaleza,6,5,6,6,5,4,Médico recém-formado,Presencial,Não,"Temperatura do espaço muito baixa, dificultou a concentração."
77,NEXAL,T1/26,Maio,Fortaleza,7,7,8,7,7,6,Médico,Presencial,Talvez,Material impresso com alguns erros de formatação.
78,HTI,T5/26,Fevereiro,São Paulo,10,10,10,10,8,8,Residente,Presencial,Sim,Melhor curso que fiz nos últimos anos. Recomendo a todos os colegas.
79,SHHE,T5/26,Junho,Fortaleza,9,9,8,6,8,8,Residente,Presencial,Sim,Melhor curso que fiz nos últimos anos. Recomendo a todos os colegas.
80,R2,T3/26,Janeiro,Fortaleza,5,5,6,4,5,4,Coordenador de área,Híbrido,Não,Plataforma travou várias vezes durante o módulo 3. Muito frustrante.
81,SHHE,T3/26,Janeiro,São Paulo,9,9,10,9,8,10,Especialista,Presencial,Sim,O suporte antes e durante o curso foi impecável.
82,NEXAL,T5/26,Maio,Fortaleza,9,10,8,6,8,7,Residente,Presencial,Sim,"Professor incrível, conteúdo denso mas muito bem explicado."
83,NEXAL,T2/26,Fevereiro,Fortaleza,9,8,10,8,9,8,Médico recém-formado,Presencial,Sim,Conteúdo atualizado e imediatamente aplicável na prática clínica.
84,HTI,T5/26,Março,São Paulo,9,8,9,9,7,9,Coordenador de área,Presencial,Sim,"Professor incrível, conteúdo denso mas muito bem explicado."
85,R2,T2/26,Janeiro,Fortaleza,9,9,10,7,9,8,Coordenador de área,Híbrido,Sim,"Professor incrível, conteúdo denso mas muito bem explicado."
86,NEXAL,T4/26,Abril,Fortaleza,2,5,6,3,4,4,Médico recém-formado,Presencial,Não,Suporte não respondeu meu e-mail em 3 dias. Abaixo do esperado.
87,R2,T4/26,Janeiro,Fortaleza,8,7,8,7,8,7,Residente,Híbrido,Talvez,O suporte demorou para responder minhas dúvidas pré-evento.
88,HTI,T1/26,Abril,São Paulo,8,7,7,6,8,9,Médico,Presencial,Talvez,Material impresso com alguns erros de formatação.
89,R2,T3/26,Maio,Fortaleza,8,7,7,6,8,9,Residente,Híbrido,Talvez,Material impresso com alguns erros de formatação.
90,R2,T5/26,Maio,Fortaleza,10,10,10,8,10,8,Médico recém-formado,Híbrido,Sim,"Professor incrível, conteúdo denso mas muito bem explicado."
91,SHHE,T2/26,Abril,São Paulo,8,9,9,7,7,9,Coordenador de área,Presencial,Talvez,"Válido, mas a carga horária poderia ser melhor distribuída."
92,POS,T3/26,Abril,Fortaleza,9,9,9,7,9,7,Especialista,Presencial,Sim,Conteúdo atualizado e imediatamente aplicável na prática clínica.
93,NEXAL,T1/26,Junho,Fortaleza,5,6,6,3,4,4,Médico,Presencial,Não,Esperava mais interação ao vivo. Ficou muito teórico.
94,R2,T4/26,Janeiro,Fortaleza,10,10,10,8,10,10,Médico recém-formado,Híbrido,Sim,O suporte antes e durante o curso foi impecável.
95,HTI,T4/26,Janeiro,São Paulo,10,10,9,10,10,9,Médico recém-formado,Presencial,Sim,"A plataforma EAD funcionou perfeitamente, sem nenhuma interrupção."
96,HTI,T5/26,Abril,São Paulo,9,10,8,7,7,9,Residente,Presencial,Sim,O suporte antes e durante o curso foi impecável.
97,NEXAL,T1/26,Abril,Fortaleza,9,8,9,6,9,8,Médico recém-formado,Presencial,Sim,Melhor curso que fiz nos últimos anos. Recomendo a todos os colegas.
98,NEXAL,T3/26,Abril,Fortaleza,8,7,7,8,7,8,Médico recém-formado,Presencial,Talvez,Bom curso mas esperava mais casos clínicos práticos.
99,POS,T5/26,Abril,Fortaleza,4,5,6,4,4,4,Especialista,Presencial,Não,Suporte não respondeu meu e-mail em 3 dias. Abaixo do esperado.
100,HTI,T3/26,Junho,Fortaleza,8,7,8,8,7,6,Médico recém-formado,Presencial,Talvez,"Válido, mas a carga horária poderia ser melhor distribuída."
101,POS,T1/26,Abril,Fortaleza,0,5,6,3,4,4,Especialista,Presencial,Não,Esperava mais interação ao vivo. Ficou muito teórico.
102,NEXAL,T4/26,Fevereiro,Fortaleza,9,9,8,9,10,8,Residente,Presencial,Sim,Transformador. Indicarei para toda a minha equipe da clínica.
103,POS,T1/26,Março,Fortaleza,10,10,9,7,9,10,Médico,Presencial,Sim,"Professor incrível, conteúdo denso mas muito bem explicado."
104,POS,T4/26,Junho,Fortaleza,8,7,7,6,9,8,Médico,Presencial,Talvez,Alguns módulos muito densos para o tempo disponível.
105,POS,T5/26,Abril,Fortaleza,10,10,9,9,10,10,Residente,Presencial,Sim,Melhor curso que fiz nos últimos anos. Recomendo a todos os colegas.
106,HTI,T1/26,Fevereiro,Fortaleza,9,10,8,6,9,10,Médico recém-formado,Presencial,Sim,"Conteúdo excelente, professor muito didático. Já apliquei na prática."
107,POS,T4/26,Março,Fortaleza,8,7,8,6,7,7,Residente,Presencial,Talvez,O suporte demorou para responder minhas dúvidas pré-evento.
108,HTI,T3/26,Junho,São Paulo,10,9,10,7,9,9,Médico recém-formado,Presencial,Sim,"Professor incrível, conteúdo denso mas muito bem explicado."
109,SHHE,T1/26,Fevereiro,São Paulo,8,7,7,8,6,7,Médico,Presencial,Talvez,Bom curso mas esperava mais casos clínicos práticos.
110,POS,T4/26,Maio,Fortaleza,8,9,7,6,8,9,Coordenador de área,Presencial,Talvez,Bom curso mas esperava mais casos clínicos práticos.
111,R2,T4/26,Junho,Fortaleza,4,5,6,3,4,4,Coordenador de área,Híbrido,Não,Apostila com erros em vários módulos.
112,NEXAL,T1/26,Fevereiro,Fortaleza,3,5,6,3,4,4,Coordenador de área,Presencial,Não,Esperava mais interação ao vivo. Ficou muito teórico.
113,R2,T1/26,Abril,Fortaleza,7,7,7,6,7,5,Médico,Híbrido,Talvez,Bom curso mas esperava mais casos clínicos práticos.
114,R2,T2/26,Março,Fortaleza,8,8,9,7,7,8,Residente,Híbrido,Talvez,Alguns módulos muito densos para o tempo disponível.
115,HTI,T1/26,Fevereiro,São Paulo,9,8,10,7,8,10,Médico,Presencial,Sim,Melhor curso que fiz nos últimos anos. Recomendo a todos os colegas.
116,R2,T5/26,Março,Fortaleza,8,8,7,6,6,7,Residente,Híbrido,Talvez,Alguns módulos muito densos para o tempo disponível.
117,R2,T3/26,Maio,Fortaleza,10,10,10,7,10,8,Coordenador de área,Híbrido,Sim,Conteúdo atualizado e imediatamente aplicável na prática clínica.
118,R2,T5/26,Janeiro,Fortaleza,7,7,8,5,7,5,Médico recém-formado,Híbrido,Talvez,Bom curso mas esperava mais casos clínicos práticos.
119,SHHE,T4/26,Abril,São Paulo,10,9,9,10,10,10,Coordenador de área,Presencial,Sim,"A plataforma EAD funcionou perfeitamente, sem nenhuma interrupção."
120,NEXAL,T2/26,Fevereiro,Fortaleza,0,5,6,3,4,4,Especialista,Presencial,Não,Apostila com erros em vários módulos.
121,NEXAL,T3/26,Maio,Fortaleza,6,5,6,4,6,4,Residente,Presencial,Não,Esperava mais interação ao vivo. Ficou muito teórico.
122,SHHE,T3/26,Janeiro,São Paulo,8,7,9,5,6,8,Médico recém-formado,Presencial,Talvez,Material impresso com alguns erros de formatação.
123,NEXAL,T1/26,Junho,Fortaleza,10,10,10,8,10,10,Especialista,Presencial,Sim,"Conteúdo excelente, professor muito didático. Já apliquei na prática."
124,HTI,T3/26,Fevereiro,São Paulo,8,8,7,5,9,8,Médico recém-formado,Presencial,Talvez,Bom de forma geral. A plataforma EAD precisa melhorar.
125,POS,T2/26,Março,Fortaleza,8,9,9,8,7,9,Residente,Presencial,Talvez,Alguns módulos muito densos para o tempo disponível.
126,NEXAL,T2/26,Abril,Fortaleza,5,5,6,3,4,4,Médico recém-formado,Presencial,Não,"Temperatura do espaço muito baixa, dificultou a concentração."
127,SHHE,T3/26,Janeiro,São Paulo,10,10,10,8,8,9,Médico,Presencial,Sim,Conteúdo atualizado e imediatamente aplicável na prática clínica.
128,SHHE,T4/26,Junho,São Paulo,6,7,6,3,4,7,Coordenador de área,Presencial,Não,Plataforma travou várias vezes durante o módulo 3. Muito frustrante.
129,HTI,T1/26,Junho,São Paulo,6,5,6,4,4,4,Médico,Presencial,Não,Cronograma atrasou mais de 1h no segundo dia sem aviso.
130,NEXAL,T1/26,Fevereiro,Fortaleza,6,7,6,4,6,6,Coordenador de área,Presencial,Não,Conteúdo repetitivo em relação ao que aprendi em outro curso.
131,SHHE,T1/26,Maio,São Paulo,9,8,8,6,7,9,Médico,Presencial,Sim,O suporte antes e durante o curso foi impecável.
132,POS,T2/26,Janeiro,Fortaleza,10,9,9,10,10,9,Especialista,Presencial,Sim,Superou minhas expectativas. Material didático de altíssima qualidade.
133,SHHE,T4/26,Junho,São Paulo,10,9,10,8,8,9,Médico,Presencial,Sim,Superou minhas expectativas. Material didático de altíssima qualidade.
134,NEXAL,T1/26,Maio,Fortaleza,8,8,7,5,7,7,Coordenador de área,Presencial,Talvez,Material impresso com alguns erros de formatação.
135,R2,T2/26,Junho,Fortaleza,9,10,10,8,9,9,Médico,Híbrido,Sim,Superou minhas expectativas. Material didático de altíssima qualidade.
136,POS,T3/26,Março,Fortaleza,10,10,9,7,9,9,Especialista,Presencial,Sim,"Professor incrível, conteúdo denso mas muito bem explicado."
137,POS,T4/26,Junho,Fortaleza,10,10,9,7,10,10,Residente,Presencial,Sim,Melhor curso que fiz nos últimos anos. Recomendo a todos os colegas.
138,NEXAL,T2/26,Fevereiro,Fortaleza,10,10,10,10,10,10,Coordenador de área,Presencial,Sim,"A plataforma EAD funcionou perfeitamente, sem nenhuma interrupção."
139,NEXAL,T2/26,Junho,Fortaleza,10,10,10,10,10,9,Coordenador de área,Presencial,Sim,Melhor curso que fiz nos últimos anos. Recomendo a todos os colegas.
140,R2,T4/26,Maio,Fortaleza,9,10,10,7,7,8,Especialista,Híbrido,Sim,"Conteúdo excelente, professor muito didático. Já apliquei na prática."
141,SHHE,T1/26,Março,São Paulo,10,9,9,9,10,9,Especialista,Presencial,Sim,Excelente curadoria de palestrantes. Muito além do esperado.
142,SHHE,T5/26,Abril,São Paulo,10,9,10,8,8,9,Coordenador de área,Presencial,Sim,"Conteúdo excelente, professor muito didático. Já apliquei na prática."
143,POS,T3/26,Janeiro,Fortaleza,10,10,10,7,10,9,Médico,Presencial,Sim,"Professor incrível, conteúdo denso mas muito bem explicado."
144,NEXAL,T2/26,Janeiro,Fortaleza,8,7,9,8,7,7,Coordenador de área,Presencial,Talvez,"Válido, mas a carga horária poderia ser melhor distribuída."
145,R2,T3/26,Abril,Fortaleza,9,9,9,6,9,7,Residente,Híbrido,Sim,"Conteúdo excelente, professor muito didático. Já apliquei na prática."
146,HTI,T5/26,Fevereiro,São Paulo,1,5,6,3,4,4,Residente,Presencial,Não,Intervalo muito curto para o volume de conteúdo.
147,SHHE,T3/26,Janeiro,São Paulo,10,9,10,8,10,8,Residente,Presencial,Sim,Conteúdo atualizado e imediatamente aplicável na prática clínica.
148,SHHE,T5/26,Maio,São Paulo,10,10,10,9,10,10,Residente,Presencial,Sim,"Conteúdo excelente, professor muito didático. Já apliquei na prática."
149,NEXAL,T4/26,Fevereiro,Fortaleza,8,7,7,7,8,6,Residente,Presencial,Talvez,O suporte demorou para responder minhas dúvidas pré-evento.
150,SHHE,T5/26,Janeiro,Fortaleza,9,9,8,7,7,8,Especialista,Presencial,Sim,Melhor curso que fiz nos últimos anos. Recomendo a todos os colegas.
151,R2,T5/26,Janeiro,Fortaleza,9,9,8,6,9,7,Especialista,Híbrido,Sim,"Conteúdo excelente, professor muito didático. Já apliquei na prática."
152,NEXAL,T3/26,Abril,Fortaleza,9,9,9,8,8,7,Especialista,Presencial,Sim,Conteúdo atualizado e imediatamente aplicável na prática clínica.
153,R2,T1/26,Maio,Fortaleza,10,9,9,10,10,8,Especialista,Híbrido,Sim,"Professor incrível, conteúdo denso mas muito bem explicado."
154,SHHE,T4/26,Janeiro,São Paulo,5,6,6,3,4,4,Médico recém-formado,Presencial,Não,Cronograma atrasou mais de 1h no segundo dia sem aviso.
155,R2,T5/26,Março,Fortaleza,9,8,9,8,9,10,Médico,Híbrido,Sim,Conteúdo atualizado e imediatamente aplicável na prática clínica.
156,SHHE,T2/26,Maio,São Paulo,10,10,10,10,8,8,Residente,Presencial,Sim,Superou minhas expectativas. Material didático de altíssima qualidade.
157,R2,T1/26,Abril,Fortaleza,5,5,6,4,4,4,Especialista,Híbrido,Não,Wi-Fi do local caiu no segundo dia. Prejudicou as apresentações.
158,NEXAL,T1/26,Janeiro,Fortaleza,7,7,7,7,7,8,Residente,Presencial,Talvez,Conteúdo sólido mas o ritmo poderia ser mais cadenciado.
159,R2,T4/26,Janeiro,Fortaleza,8,8,8,8,7,9,Especialista,Híbrido,Talvez,Material impresso com alguns erros de formatação.
160,NEXAL,T1/26,Junho,Fortaleza,9,9,9,6,7,8,Médico recém-formado,Presencial,Sim,"Conteúdo excelente, professor muito didático. Já apliquei na prática."
161,SHHE,T1/26,Março,São Paulo,9,8,8,9,10,7,Especialista,Presencial,Sim,Excelente curadoria de palestrantes. Muito além do esperado.
162,POS,T5/26,Abril,Fortaleza,6,5,7,3,7,7,Residente,Presencial,Não,Intervalo muito curto para o volume de conteúdo.
163,NEXAL,T1/26,Março,Fortaleza,8,9,8,6,9,6,Especialista,Presencial,Talvez,Bom conteúdo mas apresentação dos slides poderia ser mais visual.
164,HTI,T5/26,Fevereiro,São Paulo,7,6,7,4,8,5,Especialista,Presencial,Talvez,Alguns módulos muito densos para o tempo disponível.
165,POS,T2/26,Janeiro,Fortaleza,7,6,8,7,7,7,Residente,Presencial,Talvez,Conteúdo sólido mas o ritmo poderia ser mais cadenciado.
166,SHHE,T1/26,Março,São Paulo,8,9,8,8,7,8,Residente,Presencial,Talvez,Bom curso mas esperava mais casos clínicos práticos.
167,HTI,T4/26,Março,São Paulo,8,7,8,8,9,9,Médico recém-formado,Presencial,Talvez,"Válido, mas a carga horária poderia ser melhor distribuída."
168,POS,T3/26,Junho,Fortaleza,9,8,10,7,7,8,Especialista,Presencial,Sim,Transformador. Indicarei para toda a minha equipe da clínica.
169,HTI,T2/26,Abril,São Paulo,9,9,8,9,9,7,Coordenador de área,Presencial,Sim,"Professor incrível, conteúdo denso mas muito bem explicado."
170,POS,T5/26,Janeiro,Fortaleza,3,5,6,3,4,4,Residente,Presencial,Não,Wi-Fi do local caiu no segundo dia. Prejudicou as apresentações.
171,SHHE,T2/26,Junho,São Paulo,1,5,6,3,4,4,Coordenador de área,Presencial,Não,"Temperatura do espaço muito baixa, dificultou a concentração."
172,POS,T4/26,Março,Fortaleza,8,9,8,7,6,7,Coordenador de área,Presencial,Talvez,Alguns módulos muito densos para o tempo disponível.
173,NEXAL,T2/26,Maio,Fortaleza,9,10,9,9,9,10,Especialista,Presencial,Sim,"A plataforma EAD funcionou perfeitamente, sem nenhuma interrupção."
174,HTI,T1/26,Janeiro,Fortaleza,1,5,6,3,4,4,Médico recém-formado,Presencial,Não,Plataforma travou várias vezes durante o módulo 3. Muito frustrante.
175,NEXAL,T4/26,Fevereiro,Fortaleza,8,8,9,8,6,7,Coordenador de área,Presencial,Talvez,Conteúdo sólido mas o ritmo poderia ser mais cadenciado.
176,NEXAL,T4/26,Abril,Fortaleza,10,10,10,10,8,10,Residente,Presencial,Sim,O suporte antes e durante o curso foi impecável.
177,NEXAL,T3/26,Junho,Fortaleza,8,8,9,6,6,9,Médico,Presencial,Talvez,Bom curso mas esperava mais casos clínicos práticos.
178,HTI,T2/26,Março,São Paulo,9,10,10,8,9,8,Médico recém-formado,Presencial,Sim,Conteúdo atualizado e imediatamente aplicável na prática clínica.
179,SHHE,T5/26,Abril,Fortaleza,9,8,10,9,8,10,Residente,Presencial,Sim,Conteúdo atualizado e imediatamente aplicável na prática clínica.
180,NEXAL,T5/26,Fevereiro,Fortaleza,9,8,10,7,7,10,Especialista,Presencial,Sim,O suporte antes e durante o curso foi impecável.
