ID,Edicao_Congresso,Perfil_Participante,Estado,Especialidade,Como_Ficou_Sabendo,Primeiro_Congresso,Nota_Geral_0_10,Nota_Conteudo_Cientifico,Nota_Palestrantes,Nota_Logistica,Nota_Credenciamento,Nota_Coffee_Refeicoes,Nota_App_Evento,Interesse_Proxima_Edicao,Indicaria_Para_Colegas,Comentario_Aberto
115,Congresso Anual XPTO,Médico participante,GO,Ginecologia,Email marketing,Sim,8,9,9,8,6,6,8,Sim,Sim,Localização ótima mas estacionamento insuficiente.
116,Congresso Anual XPTO,Médico participante,PI,Ginecologia,Email marketing,Sim,8,9,9,8,7,9,6,Sim,Sim,Localização ótima mas estacionamento insuficiente.
117,Congresso Anual XPTO,Médico palestrante,MA,Geriatria,WhatsApp,Não,10,10,9,9,7,10,8,Sim,Sim,Organização impecável. Logística funcionou perfeitamente do início ao fim.
118,Congresso Anual XPTO,Equipe interna XPTO,BA,Neurologia,WhatsApp,Sim,10,9,10,10,10,8,7,Sim,Sim,Networking incrível. Já tenho novos parceiros de consultório.
119,Congresso Anual XPTO,Equipe interna XPTO,DF,Cardiologia,Site XPTO,Não,7,6,6,7,4,5,5,Sim,Talvez,Organização boa mas coffee break repetitivo no segundo dia.
120,Congresso Anual XPTO,Equipe interna XPTO,PI,Geriatria,Parceiro clínica,Não,8,7,7,6,8,9,8,Sim,Sim,Adorei os palestrantes principais. Os workshops simultâneos foram irregulares.
121,Congresso Anual XPTO,Médico residente,MT,Geriatria,Parceiro clínica,Não,4,6,6,5,4,5,3,Não,Não,Credenciamento demorou mais de 50 minutos. Perdi a primeira palestra.
122,Congresso Anual XPTO,Equipe interna XPTO,AL,Geriatria,Site XPTO,Não,9,9,8,7,10,10,7,Sim,Sim,A equipe de suporte foi extremamente atenciosa durante todo o evento.
123,Congresso Anual XPTO,Médico palestrante,BA,Nutrologia,Redes sociais,Não,8,9,8,7,8,9,5,Sim,Sim,Localização ótima mas estacionamento insuficiente.
124,Congresso Anual XPTO,Médico residente,RJ,Pediatria,Congresso anterior,Sim,8,8,8,9,5,9,8,Sim,Sim,"Sinalização boa na maioria dos espaços, mas confusa no subsolo."
125,Congresso Anual XPTO,Equipe interna XPTO,RJ,Medicina Integrativa,Redes sociais,Não,7,7,7,8,5,6,5,Sim,Talvez,Localização ótima mas estacionamento insuficiente.
126,Congresso Anual XPTO,Médico participante,MT,Nutrologia,Email marketing,Sim,6,6,6,4,5,5,5,Talvez,Talvez,Microfone com chiado durante a palestra principal. Dificultou muito.
127,Congresso Anual XPTO,Médico palestrante,SC,Endocrinologia,Parceiro clínica,Não,8,7,7,9,7,7,5,Sim,Sim,Localização ótima mas estacionamento insuficiente.
128,Congresso Anual XPTO,Médico participante,MA,Ginecologia,WhatsApp,Não,10,10,9,10,10,10,10,Sim,Sim,Organização impecável. Logística funcionou perfeitamente do início ao fim.
129,Congresso Anual XPTO,Médico palestrante,SP,Cardiologia,WhatsApp,Não,6,6,6,5,7,5,6,Talvez,Talvez,Wi-Fi caiu no segundo dia. Apresentações com vídeo ficaram prejudicadas.
130,Congresso Anual XPTO,Médico residente,PR,Endocrinologia,WhatsApp,Sim,8,7,8,7,7,6,5,Sim,Sim,Salas um pouco frias no segundo período. Sugiro ajuste no ar-condicionado.
131,Congresso Anual XPTO,Médico palestrante,PR,Ginecologia,Site XPTO,Sim,10,9,10,10,10,10,10,Sim,Sim,Networking incrível. Já tenho novos parceiros de consultório.
132,Congresso Anual XPTO,Equipe interna XPTO,PR,Ortopedia,Email marketing,Não,8,9,9,6,5,9,6,Sim,Sim,Bom de forma geral. O credenciamento poderia ter mais pontos de atendimento.
133,Congresso Anual XPTO,Patrocinador,PB,Neurologia,Parceiro clínica,Não,9,9,10,10,10,10,8,Sim,Sim,O coffee break estava excelente. Detalhe que faz diferença no longo dia.
134,Congresso Anual XPTO,Convidado especial,MT,Dermatologia,WhatsApp,Não,7,7,6,5,5,5,6,Sim,Talvez,Organização boa mas coffee break repetitivo no segundo dia.
135,Congresso Anual XPTO,Médico participante,MA,Medicina Integrativa,Site XPTO,Não,8,7,8,9,6,6,6,Sim,Sim,Salas um pouco frias no segundo período. Sugiro ajuste no ar-condicionado.
136,Congresso Anual XPTO,Médico residente,RS,Pediatria,Parceiro clínica,Não,10,10,9,10,10,9,8,Sim,Sim,"O melhor congresso da área no Brasil, sem dúvida. Estarei no próximo."
137,Congresso Anual XPTO,Médico palestrante,PB,Dermatologia,Site XPTO,Não,9,9,9,8,9,8,9,Sim,Sim,"O melhor congresso da área no Brasil, sem dúvida. Estarei no próximo."
138,Congresso Anual XPTO,Médico palestrante,RS,Psiquiatria,Email marketing,Não,8,8,8,9,8,6,7,Sim,Sim,App do evento com informações desatualizadas em alguns momentos.
139,Congresso Anual XPTO,Convidado especial,SE,Pediatria,Email marketing,Não,5,6,6,5,6,5,3,Talvez,Não,Palestrante do horário nobre cancelou sem aviso adequado.
140,Congresso Anual XPTO,Médico palestrante,SE,Dermatologia,Email marketing,Sim,9,10,10,9,6,10,9,Sim,Sim,Conteúdo atualizado e imediatamente aplicável na prática clínica.
141,Congresso Anual XPTO,Convidado especial,PB,Nutrologia,WhatsApp,Não,8,7,9,6,8,9,8,Sim,Sim,Bom de forma geral. O credenciamento poderia ter mais pontos de atendimento.
142,Congresso Anual XPTO,Médico residente,SE,Ortopedia,Congresso anterior,Não,9,8,9,9,9,9,7,Sim,Sim,Organização impecável. Logística funcionou perfeitamente do início ao fim.
143,Congresso Anual XPTO,Médico palestrante,RJ,Geriatria,Site XPTO,Não,8,7,7,8,5,7,6,Sim,Sim,Salas um pouco frias no segundo período. Sugiro ajuste no ar-condicionado.
144,Congresso Anual XPTO,Convidado especial,BA,Medicina Integrativa,Parceiro clínica,Sim,8,9,8,7,5,6,6,Sim,Sim,Bom de forma geral. O credenciamento poderia ter mais pontos de atendimento.
145,Congresso Anual XPTO,Patrocinador,RN,Clínica Geral,Indicação de colega,Não,10,9,10,10,7,8,10,Sim,Sim,Conteúdo atualizado e imediatamente aplicável na prática clínica.
146,Congresso Anual XPTO,Convidado especial,GO,Pediatria,Redes sociais,Não,9,10,9,9,10,8,8,Sim,Sim,O coffee break estava excelente. Detalhe que faz diferença no longo dia.
147,Congresso Anual XPTO,Médico palestrante,DF,Ginecologia,Site XPTO,Não,8,9,8,9,8,6,7,Sim,Sim,Organização boa mas coffee break repetitivo no segundo dia.
148,Congresso Anual XPTO,Médico participante,RS,Neurologia,Indicação de colega,Sim,10,9,10,9,7,10,10,Sim,Sim,"Materiais e apostilas de alta qualidade, bem organizados."
